owner,repo,stars_and_watchers,forks,downstream_dependents,length_of_comments,change_of_pulls,change_of_contributors,time_to_close_issues,time_to_comment_issues,closed_PRs,time_to_close_PRs,time_to_comment_PRs,commit_tags,health_percentage,headings_of_docs,headings_of_README,projects_owned_by_maintainer,projects_age_owned_by_maintainer,outdated_versions,vulnerabilities,workflow_runs,contributors_per_code_file,files_with_more_than_1_contributors,time_since_created,versions,issues_reporters_count,contributors_count,submitted_PRs,submitted_commits,issues_closed_rate,PRs_closed_rate,comments_per_pull,labels
mde,ejs,14974.0,762.0,10746128,1113.6,0.0,-1.0,0.2,12.7,-1.0,-1.0,-1.0,12.0,71.0,1,22.0,45.0,3939.2,1748,0.0,1.0,1.7,761.0,3378.26,37.0,12.0,-1.0,1.0,-1.0,0.82,0.95,1.9,12.0
TooTallNate,node-bindings,802.0,94.0,0,1113.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.0,0,1.0,391.0,3196.6,1,0.0,-1.0,2.8,3.0,4446.15,3.0,1.0,-1.0,-1.0,-1.0,0.55,0.73,1.9,-1.0
hij1nx,EventEmitter2,5548.0,241.0,953056,1113.6,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,7.0,50.0,5,41.0,-1.0,-1.0,37,0.0,-1.0,2.6,31.0,4689.03,18.0,3.0,-1.0,1.0,-1.0,0.82,0.91,1.9,7.0
sindresorhus,pretty-bytes,2102.0,79.0,11982933,1113.5,0.0,-1.0,-1.0,-1.0,1.0,3.0,4.6,7.0,85.0,0,6.0,1100.0,2969.7,46,0.0,8.0,3.2,11.0,3703.27,9.0,1.0,2.0,1.0,3.0,0.89,1.0,1.9,7.0
webpack-contrib,sass-loader,7782.0,424.0,13804613,1112.5,-2.0,0.0,22.7,23.6,22.0,20.6,7.7,44.0,62.0,0,19.0,87.0,3137.7,15195,2.0,216.0,1.6,176.0,3703.5,87.0,10.0,6.0,23.0,16.0,0.99,0.99,1.9,44.0
AriaMinaei,pretty-error,3036.0,50.0,12363720,1112.5,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,42.0,0,11.0,79.0,2879.4,313,3.0,-1.0,1.6,23.0,3808.28,-1.0,-1.0,-1.0,-1.0,-1.0,0.61,0.74,1.9,9.0
handlebars-lang,handlebars.js,35252.0,2040.0,4447633,1109.3,-2.0,-1.0,1.9,7.3,26.0,1.3,31.9,19.0,75.0,9,1.0,8.0,2422.7,9055,37.0,116.0,3.1,224.0,4992.21,1.0,16.0,7.0,37.0,17.0,0.95,0.95,1.9,19.0
browserify,commonjs-assert,586.0,60.0,0,1109.3,0.0,-1.0,-1.0,0.0,1.0,0.3,-1.0,7.0,50.0,0,7.0,75.0,3387.2,171,0.0,6.0,1.8,14.0,3784.16,2.0,1.0,2.0,1.0,13.0,0.92,0.92,1.9,7.0
JedWatson,classnames,34536.0,552.0,3873446,1104.0,-9.0,-1.0,31.1,22.3,48.0,6.6,9.2,7.0,57.0,1,9.0,100.0,3057.8,701,0.0,149.0,4.2,36.0,3434.97,-1.0,9.0,5.0,48.0,43.0,0.98,1.0,1.9,7.0
motdotla,dotenv-expand,1744.0,97.0,11223183,1103.6,0.0,-1.0,164.6,82.0,1.0,218.2,108.9,8.0,57.0,3,14.0,254.0,3151.8,4273,3.0,72.0,3.2,14.0,2993.81,-1.0,2.0,1.0,1.0,1.0,0.92,1.0,1.9,8.0
mafintosh,tar-fs,696.0,81.0,1467585,1103.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,42.0,0,5.0,917.0,2816.4,5,0.0,20.0,3.0,12.0,3753.83,-1.0,1.0,1.0,-1.0,2.0,0.98,0.98,1.9,6.0
